title,note,url,tags,comment,source_list,status
La Bonvi - Virreyes,,https://www.google.com/maps/place/La+Bonvi+-+Virreyes/data=!4m2!3m1!1s0x85d2010043cda13f:0x4eccf415d50fb02b,,,CDMX,visited
Sartoria,,https://www.google.com/maps/place/Sartoria/data=!4m2!3m1!1s0x85d1ff30eb7ba479:0xa401b90a6b1a4276,,,CDMX,visited
Daquise,,https://www.google.com/maps/place/Daquise/data=!4m2!3m1!1s0x4876054287efb657:0x3fe1394e30aee8cd,,,London,visited
Slayer Pizzeria,,https://www.google.com/maps/place/Slayer+Pizzeria/data=!4m2!3m1!1s0x48760f89c4c83589:0x3c143ae68b4237f2,,,London,visited
Bancone Kensington,,https://www.google.com/maps/place/Bancone+Kensington/data=!4m2!3m1!1s0x48760f8c39a8ffe9:0x9b6e7b3b6425fcd7,,,London,visited
Boxcar Hyde Park,,https://www.google.com/maps/place/Boxcar+Hyde+Park/data=!4m2!3m1!1s0x4876050078b577db:0x9375de91c9a944ea,,,London,visited
Zeit für Brot (The German Bakery),,https://www.google.com/maps/place/Zeit+f%C3%BCr+Brot+(The+German+Bakery)/data=!4m2!3m1!1s0x48761bfe170e7797:0x318186cf63bd8c16,,,London,visited
Space Talk,,https://www.google.com/maps/place/Space+Talk/data=!4m2!3m1!1s0x48761baee3dde51b:0xea4369e0477a649,,,London,visited
St Dunstan in the East Church Garden,,https://www.google.com/maps/place/St+Dunstan+in+the+East+Church+Garden/data=!4m2!3m1!1s0x48760351ff31196f:0xbd3d6d2fb43ff52d,,,London,visited
Sky Garden,,https://www.google.com/maps/place/Sky+Garden/data=!4m2!3m1!1s0x487603526c3ca281:0xd5156ccc2c6a9284,,,London,visited
BAO City,Bowl de carne con arroz!!,https://www.google.com/maps/place/BAO+City/data=!4m2!3m1!1s0x487603158bfb60f3:0x5115ec091e674819,,,London,visited
The Mall Tavern,,https://www.google.com/maps/place/The+Mall+Tavern/data=!4m2!3m1!1s0x48760ff958a389e5:0xe0cd754160141ff0,,,London,visited
The Camberwell Arms,"Gran pub en camberwell. Muy bueno para date con muy buena comida y muy buen ambiente. Sirven aperitivos, vinos diferentes y esta separada la parte de restaurante y pub. Gran lugar!",https://www.google.com/maps/place/The+Camberwell+Arms/data=!4m2!3m1!1s0x4876037f4e67aca1:0xe0e6552a2be04399,,,London,visited
Grove House Tavern,Pub local en camberwell y sirven los sandwiches de cafe mondo. Muy cool para estar adentro o afuera para todo tipo de plan! ,https://www.google.com/maps/place/Grove+House+Tavern/data=!4m2!3m1!1s0x48760381f7b6ee6d:0x4e3a74cd2941f40f,,,London,visited
