Title,Note,URL,Tags,Comment
CIENA,,https://www.google.com/maps/place/CIENA/data=!4m2!3m1!1s0x85d1ff42c8645973:0x345df2fea91984a,,
Tacos Los Caramelos - Condesa,,https://www.google.com/maps/place/Tacos+Los+Caramelos+-+Condesa/data=!4m2!3m1!1s0x85d1ff1a09ae75db:0x86da44977d2c5293,,
El Jugador Número 12,,https://www.google.com/maps/place/El+Jugador+N%C3%BAmero+12/data=!4m2!3m1!1s0x85d1ffe60ac6f3fd:0x62c19ebcbcb9cf6,,
Nima Local House Hotel & Spa,,https://www.google.com/maps/place/Nima+Local+House+Hotel+%26+Spa/data=!4m2!3m1!1s0x85d1ff39f1ac222b:0x179fc326efc6b5e7,,
Huset,,https://www.google.com/maps/place/Huset/data=!4m2!3m1!1s0x85d1ff39c1498751:0x1da7bb872877380e,,
Maizajo,,https://www.google.com/maps/place/Maizajo/data=!4m2!3m1!1s0x85d1f8662726bc5d:0xd437703208a9d19a,,
Café de Nadie,,https://www.google.com/maps/place/Caf%C3%A9+de+Nadie/data=!4m2!3m1!1s0x85d1ff1edbce70ff:0xdb713a3a894989bc,,
Marmota,,https://www.google.com/maps/place/Marmota/data=!4m2!3m1!1s0x85d1ff15961c2aaf:0xcd3331459a131b84,,
ODETTE,,https://www.google.com/maps/place/ODETTE/data=!4m2!3m1!1s0x85d2019ed4e5d627:0xb699296e5b1042c,,
Koku,Rollo de elote,https://www.google.com/maps/place/Koku/data=!4m2!3m1!1s0x85d1ff35125b2955:0xe1b2bed9ffa11fb,,
Miru,,https://www.google.com/maps/place/Miru/data=!4m2!3m1!1s0x85d2016e34b602c5:0x6373183a8add04ad,,
Tokyo Music Bar,,https://www.google.com/maps/place/Tokyo+Music+Bar/data=!4m2!3m1!1s0x85d1ff8d7e6f294d:0x6f07f510fc94e4aa,,
Le Tachinomi Desu,Restaurante mini y de mis favoritos,https://www.google.com/maps/place/Le+Tachinomi+Desu/data=!4m2!3m1!1s0x85d1ff4aec23a511:0x282bd999a031aec,,
ololo,Bar deli,https://www.google.com/maps/place/ololo/data=!4m2!3m1!1s0x85d1ff789601db3b:0x185e5746da0e77f6,,
Sesame,Baos deli,https://www.google.com/maps/place/Sesame/data=!4m2!3m1!1s0x85d1ff3a7484228b:0xa00a3a365e24ff87,,
Niddo Oxford,,https://www.google.com/maps/place/Niddo+Oxford/data=!4m2!3m1!1s0x85d1ffeb20a1918b:0x80ec2e159839511d,,
Máximo,,https://www.google.com/maps/place/M%C3%A1ximo/data=!4m2!3m1!1s0x85d1ff3be3010d77:0x61a7328c1d52cc2b,,
Puntarena,,https://www.google.com/maps/place/Puntarena/data=!4m2!3m1!1s0x85d2010d1a10adcb:0xf4fee3504d49b2b6,,
Puntarena,,https://www.google.com/maps/place/Puntarena/data=!4m2!3m1!1s0x85d200cc992871b1:0x98e7835f6311b5cb,,
Ginza Barra,,https://www.google.com/maps/place/Ginza+Barra/data=!4m2!3m1!1s0x85d2013b301e79df:0x9e5b05af4ce0ee1d,,
Eno,,https://www.google.com/maps/place/Eno/data=!4m2!3m1!1s0x85d201f2d77708b7:0xd31fb2657959d798,,
Zeru Lomas,,https://www.google.com/maps/place/Zeru+Lomas/data=!4m2!3m1!1s0x85d2016386a96733:0x55c7fcbfdf53822b,,
LaMari,,https://www.google.com/maps/place/LaMari/data=!4m2!3m1!1s0x85d201922fec07dd:0xcf17aaf71c77af2e,,
Sandoi,,https://www.google.com/maps/place/Sandoi/data=!4m2!3m1!1s0x85d2015adacd450f:0x7d8d3d132d12ff6c,,
Roca,,https://www.google.com/maps/place/Roca/data=!4m2!3m1!1s0x85d2018d1482e875:0x1e27dedf1a25f0a2,,
One Pound Terraza,,https://www.google.com/maps/place/One+Pound+Terraza/data=!4m2!3m1!1s0x85d201d2ba6fdcd1:0x3bd34519d6b1e3e5,,
Ajoblanco,,https://www.google.com/maps/place/Ajoblanco/data=!4m2!3m1!1s0x85d201c42d492ddd:0x4914428c6e0f11b3,,
Prendes,,https://www.google.com/maps/place/Prendes/data=!4m2!3m1!1s0x85d1ff634e2a7971:0xa619806d91d2be80,,
Boccado Prendes La Mexicana,,https://www.google.com/maps/place/Boccado+Prendes+La+Mexicana/data=!4m2!3m1!1s0x85d201b6d809bb5b:0x50994797b7d24440,,
Estoril,,https://www.google.com/maps/place/Estoril/data=!4m2!3m1!1s0x85d200c4b98ed481:0xcae37a051ee80a0a,,
Jin San,,https://www.google.com/maps/place/Jin+San/data=!4m2!3m1!1s0x85d200e7c7857b93:0xa65d797e529e51c3,,
Sakai Santa Fe,,https://www.google.com/maps/place/Sakai+Santa+Fe/data=!4m2!3m1!1s0x85d201e2c6ec0c8d:0xf0735b8e46bbe3d8,,
Onomura Santa Fe,,https://www.google.com/maps/place/Onomura+Santa+Fe/data=!4m2!3m1!1s0x85d201446353c655:0x5d069ee5e1c4c774,,
Onomura Prado Norte,,https://www.google.com/maps/place/Onomura+Prado+Norte/data=!4m2!3m1!1s0x85d2015439d13f33:0x2c380b9de92d6fe2,,
Contramar,,https://www.google.com/maps/place/Contramar/data=!4m2!3m1!1s0x85d1ff2fbf2f3f7b:0xe8a4468e5f14a3f,,
La Esquina Del Chilaquil,,https://www.google.com/maps/place/La+Esquina+Del+Chilaquil/data=!4m2!3m1!1s0x85d1ff428f61a6a3:0xec757c64e0f05944,,
Restaurante Rosetta,,https://www.google.com/maps/place/Restaurante+Rosetta/data=!4m2!3m1!1s0x85d1ff035a802175:0x617fedb7ee58dbc0,,
ULTRAMARINOS DEMAR,,https://www.google.com/maps/place/ULTRAMARINOS+DEMAR/data=!4m2!3m1!1s0x85d1ff003cb5ceeb:0x9ecb12cbee322204,,
Havre 77,,https://www.google.com/maps/place/Havre+77/data=!4m2!3m1!1s0x85d1ff316923c3f7:0xe06e213a196ed97c,,
La Bonvi - Virreyes,,https://www.google.com/maps/place/La+Bonvi+-+Virreyes/data=!4m2!3m1!1s0x85d2010043cda13f:0x4eccf415d50fb02b,,
Sartoria,,https://www.google.com/maps/place/Sartoria/data=!4m2!3m1!1s0x85d1ff30eb7ba479:0xa401b90a6b1a4276,,
