Title,Note,URL,Tags,Comment
99 Records,,https://www.google.com/maps/place/99+Records/data=!4m2!3m1!1s0x85d1ffa0ce9d8e61:0xf9042e0082074c0,,
Roma Records,,https://www.google.com/maps/place/Roma+Records/data=!4m2!3m1!1s0x85d1ff39a7969ee1:0xa2e99b92a09f1146,,
Cafe Milou,,https://www.google.com/maps/place/Cafe+Milou/data=!4m2!3m1!1s0x85d1ff4591b6aaab:0x75a15484dd5fc449,,
SAN さん Matcha,,https://www.google.com/maps/place/SAN+%E3%81%95%E3%82%93+Matcha/data=!4m2!3m1!1s0x85d1ffd40b32a277:0x47acdf9cbc2fc2e7,,
PLONK,,https://www.google.com/maps/place/PLONK/data=!4m2!3m1!1s0x85d1ffcb11c2ccfb:0xd325bce679981c20,,
La Once Mil - Lomas,,https://www.google.com/maps/place/La+Once+Mil+-+Lomas/data=!4m2!3m1!1s0x85d201651c52ff7b:0x21373fd666b1fb33,,
Biblioteca Vasconcelos,,https://www.google.com/maps/place/Biblioteca+Vasconcelos/data=!4m2!3m1!1s0x85d1f8d97f5adfe9:0xab381ade506b433d,,
Derretido,,https://www.google.com/maps/place/Derretido/data=!4m2!3m1!1s0x85d1ffa3170d81f9:0x769546951e55f3c9,,
Barra Lupe,Mezcalitas,https://www.google.com/maps/place/Barra+Lupe/data=!4m2!3m1!1s0x85d1ff00095ae2d5:0x7e404f5d44f42518,,
Redonda,,https://www.google.com/maps/place/Redonda/data=!4m2!3m1!1s0x85d1ff10988c9837:0x55731fcf91c7ca43,,
Dr. Pizza,,https://www.google.com/maps/place/Dr.+Pizza/data=!4m2!3m1!1s0x85d1ff0178515a0f:0xe736594f719f2747,,
Lolo Miscelánea Editorial,,https://www.google.com/maps/place/Lolo+Miscel%C3%A1nea+Editorial/data=!4m2!3m1!1s0x85d1ff002e9b9b07:0x36d409b740d3ddeb,,
La Emperatriz Café,,https://www.google.com/maps/place/La+Emperatriz+Caf%C3%A9/data=!4m2!3m1!1s0x85d20100766be061:0x789f9c51b5dca46d,,
Poppy Wellness Lounge,,https://www.google.com/maps/place/Poppy+Wellness+Lounge/data=!4m2!3m1!1s0x85d1ff5233c0cdc9:0xd96be8145f602bc3,,
Filosa,,https://www.google.com/maps/place/Filosa/data=!4m2!3m1!1s0x85b8f9d4c7e09ee3:0x1505c31e8a708aa3,,
La 89,,https://www.google.com/maps/place/La+89/data=!4m2!3m1!1s0x85d1ff004a74dfcb:0xf5d95518a31be835,,
Campobaja,,https://www.google.com/maps/place/Campobaja/data=!4m2!3m1!1s0x85d1ff3a9ef407fb:0x71e17d14526c047b,,
Supplì,,https://www.google.com/maps/place/Suppl%C3%AC/data=!4m2!3m1!1s0x85d1fffc5ad85f3b:0x7ab6f475134e71b8,,
Voraz,,https://www.google.com/maps/place/Voraz/data=!4m2!3m1!1s0x85d1ff5ab968c011:0xca3530e5a39c8c8f,,
Jenni’s Quesadillas,,https://www.google.com/maps/place/Jenni%E2%80%99s+Quesadillas/data=!4m2!3m1!1s0x85d1ff3a9c183333:0x3c2f53f32906ed92,,
Cannizaro Park,,https://www.google.com/maps/place/Cannizaro+Park/data=!4m2!3m1!1s0x487608d6f32f7757:0x9b28eb6f71bcdba5,,
Caracol de Mar,,https://www.google.com/maps/place/Caracol+de+Mar/data=!4m2!3m1!1s0x85d1f9955f1ae91f:0x2c3bab0e35842447,,
Café Nin,,https://www.google.com/maps/place/Caf%C3%A9+Nin/data=!4m2!3m1!1s0x85d1ff31688a74b9:0xe7e20e8437e5d3c5,,
Taller Masa,,https://www.google.com/maps/place/Taller+Masa/data=!4m2!3m1!1s0x85d1ff006e48d04f:0x2c9b07a1fe8f737,,
MADO CAFÉ,,https://www.google.com/maps/place/MADO+CAF%C3%89/data=!4m2!3m1!1s0x85d1ff0030a806a5:0xdfd721912a06de2e,,
Futari,,https://www.google.com/maps/place/Futari/data=!4m2!3m1!1s0x85d1ff00136817eb:0xdcd958f27a67904a,,
El Rey del Falafel,,https://www.google.com/maps/place/El+Rey+del+Falafel/data=!4m2!3m1!1s0x85d1ff43e046644f:0xf99a040f289b353d,,
Gaba Restaurante,,https://www.google.com/maps/place/Gaba+Restaurante/data=!4m2!3m1!1s0x85d1ff25de7966d5:0x4cda98d171604732,,
Auguste,,https://www.google.com/maps/place/Auguste/data=!4m2!3m1!1s0x48761d85ac6dba7d:0x5576219f0d615e97,,
Meroma,,https://www.google.com/maps/place/Meroma/data=!4m2!3m1!1s0x85d1ff3a83e4a1f7:0x1b1cd8a36ed7701f,,
El Tigre Silencioso,,https://www.google.com/maps/place/El+Tigre+Silencioso/data=!4m2!3m1!1s0x85d1ff3081faaaab:0x8e868dafabf86dfe,,
Tirso's Coffee Roma,,https://www.google.com/maps/place/Tirso's+Coffee+Roma/data=!4m2!3m1!1s0x85d1ff0036dd4e05:0x468163d9fada8b9e,,
Parla,,https://www.google.com/maps/place/Parla/data=!4m2!3m1!1s0x85d201e055165d09:0xe89ecbaa3c8578c,,
Étranger,,https://www.google.com/maps/place/%C3%89tranger/data=!4m2!3m1!1s0x85d1ff59302d8261:0x2e43092a5a205008,,
Kazu's Kitchen,,https://www.google.com/maps/place/Kazu's+Kitchen/data=!4m2!3m1!1s0x85d2020075e9dd69:0xdb3845b85a1037bc,,
L'enfant,,https://www.google.com/maps/place/L'enfant/data=!4m2!3m1!1s0x85d1ffff61cf8a5f:0xb4d33659fa41d52,,
El Maldito de Jalisco,,https://www.google.com/maps/place/El+Maldito+de+Jalisco/data=!4m2!3m1!1s0x85d1ff006e4f3b19:0xbf8caa27825305d5,,
Tosco Restaurante,,https://www.google.com/maps/place/Tosco+Restaurante/data=!4m2!3m1!1s0x85d1ff001e7f1c57:0x11a3e8a9b8432e87,,
Max Tachinomi,,https://www.google.com/maps/place/Max+Tachinomi/data=!4m2!3m1!1s0x85d1ff005eb5769d:0x377fca973e7c5e19,,
